TYPE	WHO	LANGID	BORN PLACE	WEAPONS	FLOWERS	INSTRUMENTS	INSECTS	PLEASANT	UNPLEASANT
original	anonymous	it1	Giulianova, Italia	pugnale, gladio, spada, ascia, accetta, arco, balestra, ballista, catapulta, tirapugni, fionda, fioretto, pistola, fucile mitragliatore, mitragliatrice, fucile, bazooka, cerbottana, sciabola, bastone, manganello, lupara, coltello, giavellotto, lancia 	margherita, rosa, lillà, nontiscordardime, tulipano, bucaneve, bouganvillea, giglio, giunchiglia, narciso, iris, pratolina, petunia, viola, violacciocca, croco, mughetto, peonia, ibisco, calicanto, glicine, orchidea, gelsomino, ornitogallo, gladiolo	viola, violino, violoncello, pianoforte, arpa, chitarra, mandolino, mandola, ukulele, balalaika, flauto, flauto traverso, flauto di pan, zufolo, kazoo, fisarmonica, armonica a bocca, oboe, clarino, clarinetto, clavicembalo, organo, tromba, trombone, sousafono	mosca, moscone, zanzara, moscerino, tagliaforbice, blatta, cervo volante, insetto foglia, insetto stecco, cimice, insetto carabiniere, ape, vespa, volucella zonaria, libellula, donzella, scorpione d'acqua, pidocchio, pulce, farfalla, falena, maggiolino, formica, formicaleone, mantide	pace, calma, tranquillità, serenità, silenzio, solitudine, dolcezza, tenerezza, comodità, facilità, natura, tepore, concentrazione, agio, divertimento, risate, sorrisi, realizzazione, riflessione, lettura, contemplazione, soddisfazione, affetto, amore, amicizia	ansia, angoscia, fretta, deconcentrazione, debolezza, affanno, insonnia, pianto, tensione, odio, negatività, furto, povertà, chiusura, preoccupazione, assillo, trantran, noia, alienazione, insoddisfazione, aspro, disgusto, timore, incertezza, insicurezza
original	anonymous	it2	provincia di Lecce, Italia	coltello, pistola, pugnale, fucile, carabina, lupara, mitragliatrice, doppietta, mitra, rivoltella, sciabola, spada, scimitarra, tirapugni, mazza, martello, frusta, manganello, sfollagente, ascia, bastone, lancia, roncone, arco, balestra	margherita, rosa, tulipano, gerbera, girasole, iris, ciclamino, geranio, primula, peonia, glicine, viola, lavanda, giglio, fresia, garofano, anemone, ortensia, magnolia, oleandro, orchidea, papavero, calla, begonia, calendula	chitarra, pianoforte, cembalo, tamburo, piatti, flauto, tromba, trombone, violino, viola, violoncello, batteria, arpa, maracas, basso, xilofono, cornamusa, sassofono, clavicembalo, oboe, contrabbasso, mandolino, fisarmonica, organo, fisarmonica	ape, zanzara, mosca, vespa, moscerino, formica, cavalletta, farfalla, grillo, coleottero, libellula, calabrone, scarafaggio, ragno, mantide, scorpione, falena, lucciola, bruco, coccinella, cicala, locusta, pulce, tarantola, lumaca	libertà, vita, gioia, mare, affetto, amicizia, serenità, dignità, appagamento, famiglia, relax, vacanza, figlio, autonomia, soddisfacente, piacere, sapore, gusto, estate, primavera, suono, intelligente, natura, colore, musica	insulto, precarietà, freddo, arroganza, cattivo, tristezza, ingiustizia, truffa, orrore, lontananza, sofferenza, odoraccio, negativo, fine, disgrazia, assenza, maltempo, parziale, nuvoloso, opposizione, disorientamento, solitudine, addio, inopportuno, negazione
original	anonymous	it3	Udine, Italia	pistola, fucile, spada, ascia, coltello, mitra, bomba, cannone, mitragliatrice, kalashnikov, granata, accetta, scure, martello, forbici, pugnale, lancia, artigli, carro armato, fumogeno, archibugio, fionda, ghigliottina, lama, spadaccino	rosa, viola, girasole, margherita, papavero, tulipano, fiordaliso, orchidea, soffione, dente di leone, ciclamino, iris, crisantemo, garofano, primula, oleandro, ibiscus, gelsomino, peonia, giglio, narciso, bucaneve, violetta, muschio, fieno	violino, viola, violoncello, contrabbasso, chitarra, mandolino, pianoforte, clavicembalo, organo, tromba, trombone, oboe, fagotto, clarinetto, flauto, flauto traverso, batteria, tamburo, xilofono, maracas, triangolo, ukulele, sassofono, arpa, fisarmonica	mosca, zanzara, cimice, ape, zanzara tigre, calabrone, formica, farfalla, bruco, scarafaggio, scorpione, scarabeo, millepiedi, libellula, mantide, coccinella, cavalletta, ragno, tarantola, verme, forbice, astice, calamaro, sgombro, scampo	amore, affetto, amicizia, calma, pace, intesa, relazione, bellezza, confort, piacere, rispetto, responsabilità, profumo, tenerezza, dolcezza, intimità, buono, sensuale, attraente, interessante, piacevole, affabile, comodo, pulito, positivo	guerra, odio, distanza, litigio, scomodo, dispiacere, mancanza, difetto, negativo, odore, freddo, lontano, amaro, duro, cattivo, brutto, incomprensione, chiuso, distacco, introverso, permaloso, rabbia, sporco, falso, bugiardo
original	anonymous	it4	Pordenone, Italia	fucile, coltello, pugnale, spada, pistola, rivoltella, tirapugni, bastone, cannone, arco, balestra, fionda, scimitarra, ascia, lancia, bomba, lanciafiamme, granata, sciabola, mina, bazooka, lanciarazzi, missile, mitragliatrice, mazza	rosa, tulipano, mughetto, glicine, geranio, genziana, cardo, ciclamino, girasole, orchidea, margherita, tarassaco, nontiscordardimé, iris, ginestra, lavanda, velo da sposa, fiori di sambuco, papavero, garofano, fiordaliso, viola, campanula, giglio, narciso	flauto traverso, oboe, corno, violino, viola, violoncello, arpa, trombone, tromba, clarinetto, ottavino, percussioni, tamburo, triangolo, timpano, fagotto, contrabbasso, piatti, xilofono, flauto dolce, batteria, ocarina, sassofono, armonica, fisarmonica	farfalla, mantide, grillo, cicala, formica, coccinella, scarafaggio, blatta, cimice, ape, vespa, bombo, calabrone, scarabeo, ragno, millepiedi, bruco, maggiolino, mosca, zanzara, moscerino, falena, libellula, baco da seta, scorpione	arcobaleno, sole, luna, acqua, fresco, pulito, mare, confortevole, fuoco, caldo, brezza, soffice, morbido, dolce, paradiso, musica, cibo, famiglia, amore, affetto, amici, serenità, foresta, libertà, abbraccio	morte, suicidio, sangue, depressione, ripugnante, latrina, fogna, viscido, noioso, violento, egoista, accidia, tirchio, avarizia, litigio, puzza, sporco, cimice, siringa, omicidio, fetido, marcio, muffa, sudore, peste 
original	anonymous	it5	Padova, Italia	fucile, carabina, pistola, rivoltella, baionetta, balestra, coltello, mitragliatrice, cannone, pugnale, clava, ascia, sciabola, spada, carro armato, lancia, picca, arco, fionda, catapulta, giavellotto, mortaio, granata, bomba, mina	margherita, rosa, viola, giglio, iris, gladiolo, gelsomino, glicine, geranio, ortensia, girasole, camelia, dente di leone, calla, tulipano, orchidea, lavanda, gardenia, dalia, bucaneve, papavero, magnolia, calendula, genziana, giacinto	pianoforte, clavicembalo, flauto, flauto traverso, oboe, clarinetto, contrabbasso, violino, violoncello, viola, piatti, tamburo, grancassa, tamburello, triangolo, tromba, trombone, corno, piffero, chitarra, liuto, sassofono, chitarra elettrica, arpa	formica, farfalla, bruco, lombrico, ape, vespa, calabrone, cavalletta, grillo, mosca, moscerino, zanzara, libellula, scarafaggio, scarabeo, millepiedi, cimice, lucciola, coccinella, pulce, zecca, cicala, maggiolino, termite	amicizia, amore, affetto, comunità, famiglia, relazione, bellezza, unione, spiritualità, tramonto, alba, mare, natura, sole, infanzia, nonni, silenzio, pace, serenità, felicità, musica, arte, teatro, danza, letteratura	rumore, odio, bruttezza, incomprensione, litigio, morte, malattia, guerra, carestia, intolleranza, disordine, pregiudizio, buio, caos, immobilità, ansia, impotenza, freddo, paura, arroganza, falsità, ipocrisia, ignoranza, violenza
original	anonymous	it6	Viareggio, Italia 	fucile,pistola,balestra, spada, pugnale, coltello,mitra, mitragliatrice,rivoltella,lupara,sciabola,mazza ferrata,baionetta,carro armato, lanciafiamme,picca,freccia,coltello a serramanico,stiletto,granata,mina,bomba,molotov,drone armato,missile	rosa,margherita,viola,crisantemo,non ti scordar di me, peonia,camelia,girasole,geranio, mughetto,gardenia,tulipano,gelsomino,lilla,lavanda,fiore d'arancio, giglio,magnolia,papavero,fiori di ciliegio, orchidea,primula,glicine,ciclamino, bucaneve	flauto, pianoforte,violino, viola, violoncello, arpa,arpa celtica,flauto traverso,chitarra,clavicembalo,batteria,tamburo,triangolo,gong,piatti,basso,tromba,trombone,clarinetto,organo,armonica a bocca, fisarmonica,bongo,cimbalo, maracas	formica,ape, vespa, zanzara, coccinella,mosca,coleottero,farfalla,scarafaggio,cimice,calabrone,grillo,cavalletta,mantide religiosa, forbice,falena,cervo volante,libellula,zecca,pidocchio,ragno, scarabeo,scorpione,coleottero,cocconiglia	tiepido,morbido,accogliente,familiare,profumato, amichevole,soffice, rassicurante,amorevole, amici,caldo,rinfrescante,rigenerante,coccola,luminoso, dolce,abbraccio,orgasmo,rapporto,bacio,cioccolato,traguardo,sostegno,fiducia,sole	noia,tristezza,paura,dolore,odio, ruvido, isolato,maleodorante, sporco,torrido,aspro,inutile,volgare, falso,tradimento,stagnante, stantio, ammuffito,forzato,obbligato,sfruttato,rubato, marcio,avariato,rotto
original	anonymous	it7	Savona, Italia 	pistola, fucile, coltello, spada, pugnale, bomba, lancia, freccia, arco, cannone, carabina, mitra, bazooka, mina, granata, razzo, missile, catapulta, mitragliatrice, rivoltella, balestra, bomba nucleare, dinamite, sciabola, moschetto	rosa, margherita, girasole, peonia, papavero, tulipano, rododendro, glicine, gelsomino, dalia, ciclamino, ortensia, viola, bella di notte, violetta del pensiero, non ti scordar di me, bouganville, magnolia, crisantemo, giglio, orchidea, azalea, garofano, ginestra, mimosa	chitarra classica, chitarra acustica, chitarra elettrica, pianoforte, viola, violino, violoncello, contrabbasso, clavicembalo, clarinetto, saxofono, flauto dolce, flauto traverso, batteria, basso, oboe, tromba, trombone, triangolo, tamburo, xilofono, nacchere, bongo, fisarmonica, armonica	ape, vespa, mosca, formica, moscerino, grillo, cavalletta, cicala, mantide religiosa, coccinella, scarafaggio, blatta, millepiedi, calabrone, bombo, libellula, ragno, fuco, farfalla, falena, coleottero, scarabeo, forbicina, zanzara, zecca	sole, mare, estate, calore, profumo, riposo, dolcezza, abbraccio, coccola, bacio, amore, amicizia, ascolto, risata, bellezza, sorriso, carezza, cura, vacanza, viaggio, luce, compagnia, relax, serata, tramonto	stress, ansia, paura, fretta, ritardo, maleducazione, rabbia, buio, freddo, inverno, solitudine, oscurità, abbandono, puzza, malessere, scontro, litigio, urla, stanchezza, criminalità, scontroso, sporco, sporcizia, malattia, pericolo 
original	anonymous	it9	Forlì, Italia 	pistola, cecchino, mitragliatrice, fucile, cannoni, bomba, mitra, lanciafiamme, granata, sciabola, spada, coltello, rivoltella, lanciagranate, fucile a pompa, carabina, mitragliera, moschetto, fucile d’assalto, pugnale, missile, mazza, manganello, ascia, lanciarazzi	viola, rosa, tulipano, margherita, orchidea, giglio, calla, ibisco, lavanda, glicine, garofano, iris, petunia, papavero, camelia, camomilla, calendula, vischio, quadrifogli, mimosa, primula, pioppo, gardenia, gelsomino, loto	chitarra, pianoforte, violino, violoncello, viola, tamburo, tamburello, basso, batteria, chitarra elettrica, flauto, flauto traverso, triangolo, organo, clarinetto, arpa, clavicembalo, xilofono, sassofono, tromba, fisarmonica, trombone, cembalo, oboe, contrabbasso 	zanzara, mosca, cimice, formica, cavalletta, grillo, scarafaggio, ape, vespa, libellula, farfalla, blatta, mantide, insetto stecco, coccinelle, coleottero, lucciola, cicala, pulce, maggiolino, locusta, falena, dorifera, scarabeo, cervo volante	simpatico, solidale, fiducioso, leale, felice, allegro, attivo, solare, luminoso, risplendente, empatico, estroverso, fiorito, vivace, caloroso, paziente, divertente, giocherellone, gradevole, interessante, accomunante, spensierato, flessibile, buono, consapevole	insetti, opacità, freddezza, incostanza, incostituzionalità, indifferenza, indisposizione, incontrollabile, arroganza, superficialità, competitività, delusione, sofferenza, distruzione, malessere, abuso, violenza, afflitto, consumare, assoluto, dipendenza, maleducazione, impertinenza, convinzione, incoerenza, ingratitudine 
original	anonymous	it10	prato, Italia	fucile, pistola, spada, arco, frecce, moschetto, picca, mitragliatrice, coltello, alabarda, mannaia, balestra, manganello, mazza chiodata, pugnale, bazooka, bomba, lancia, mortaio, baionetta, missile, siluro, bomba atomica, carabina, cannone	margherita, rosa, viola, nontiscordardimé, peonia, camelia, lavanda, camomilla, dente di leone, campanula, mughetto, papavero, tulipano, narciso, glicine, giacinto, ninfea, giunchiglia, nasturzio, calla, loto, girasole, ortensia, ibisco, stella alpina	oboe, chitarra, clarinetto, fagotto, viola, violino, violoncello, flauto dolce, flauto traverso, pianoforte, pianola, batteria, basso, triangolo, xilofono, tamburello, tromba, trombetta, trombone, corno alpino, organo, contrabbasso, arpa, tamburo, gong	coleottero, formica, vespa, ape, bombo, calabrone, osmia, mantide, insetto stecco, moscerino, mosca, farfalla, falena, zanzara, scarabeo, lucciola, cavalletta, grillo, zanzarone, gerride, cicala, libellula, coccinella, millepiedi, bruco	abbraccio, bacio, coccola, carezza, sorpresa, complimento, successo, amicizia, compagnia, rispetto, ammirazione, umiltà, cordialità, cortesia, gentilezza, morbido, tepore, comodo, dolcezza, generosità, accogliente, silenzio, tranquillità, calma, protezione	vergogna, tristezza, malattia, umiliazione, fallimento, povertà, solitudine, invidia, gelosia, abuso, bullismo, violenza, maleducazione, oscurità, asprezza, disprezzo, scomodo, avarizia, inospitale, delusione, confusione, offesa, chaos, rumoroso, dolore
original	anonymous	it11	Castiglione delle Stiviere, Italia	pistola, coltello, pugnale, fucile, mitragliatrice, spada, ascia, bomba, cannone, balestra, arco, baionetta, garrota, tirapugni, manganello, bastone, sciabola, bomba a mano, granata, carabina, cerbottana, corpo contundente, manganello, mazza ferrata, lancia	margherita, tulipano, giglio, fresia, iris, geranio, dalia, anemone, rododendro, narciso, garofano, giunchiglia, viola, ciclamino, rosa, non ti scordar di me, dente di leone, fiore di ciliegio, fiore di pesco, fiore d'arancio, peonia, papavero, lavanda, gelsomino, glicine	pianoforte, violino, clarinetto, sassofono, flauto dolce, flauto traverso, chitarra, basso, batteria, viola, violoncello, clavicembalo, organo, tromba, trombone, corno, tuba, oboe, tamburello, piatti, triangolo, arpa, mandolino, fisarmonica, tamburo	mosca, zanzara, formica, cimice, coccinella, farfalla, falena, cavalletta, grillo, moscerino, locusta, scarafaggio, blatta, scarabeo, pulce, libellula, ape, vespa, calabrone, bombo, coleottero, tafano, cicala, mantide, termite	amore, pace, felicità, serenità, soddisfazione, comprensione, conforto, entusiasmo, affetto, speranza, ottimismo, fiducia, bellezza, bontà, armonia, amicizia, eguaglianza, rispetto, solidarietà, giustizia, libertà, lealtà, onestà, coraggio, contentezza 	tristezza, rabbia, paura, disperazione, ansia, morte, disgusto, repulsione, odio, cattiveria, degrado, umiliazione, solitudine, vergogna, delusione, ingiustizia, violenza, crudeltà, angoscia, dolore, terrore, orrore, sofferenza, tragedia, disprezzo
