LANG	TYPE	WHO	VERSION	BIRTH PLACE	WEAPONS	FLOWERS	INSTRUMENTS	INSECTS	PLEASANT	UNPLEASANT
ar1	original	anonymous	1.0	Liban, Liban	سهم,مسدس,صاروخ,قذيفة,رمح,فئس,سيف,خنجر,ديناميت,شفرة,غاز مسيل للدموع,رصاص مطاط,قنبلة,نقيفة,سكين,مدفع,كرباج,ساطور,بندقية,دبّابة,خردقة,صولجان,سوط,خازوق,بارود	غملول,لحلاح,نرجس,سوسن,شنداب,أوركيد,ورد الجوري,ارطنسيا,جيرانيوم,جعدة,ضرم,جنطيانا,نفل,زنبق,بنفسج,شبرق,ديوك الجبل,جلبان,ورد,زهر,قندول,ورد الشمس,قرنفل,جريس,رعراع	عود‎,قنبوي,بزق‎‎,سيتار,مجوز,طبل,مزمار,ريق,دف,نقاره,ناي,قانون,سنطور,ربابة,بيانو,جيتار,كمنجة,بوق,تشيللو,أكوردييون,قيثارة,أوبوا,زمخر,جرس,ساكسوفون	نملة,نحلة,ذبانة,بعوضة,عنكبوت,دبور,دودة,فراشة,صرصور,خنفساء,جرادة,يرقة,يعسوبة,يراعة,برغوثة,جندب,عقرب,قملة,دعسوقة,زيز,أرضة,صرّار,حريشة,حشرة الفرشة,حشرج العتة	حنين,جمال,استراحة,متعة,أناسة,سعادة,شبع,لطف,وداد,صداقة,أناقة,عائلة,أمّ,نجاح,ابتسام,ضحك,نقاء,طبيعة,بيت,راحة,أكل,نوم,نسيم,دفء,أمان	قرف,قذارة,عرق,حرارة,برد,جشع,طمع,سرقة,فساد,قتل,موت,ظلم,خطيئة,كذب,سرطان,مرض,عفونة,صعوبة,قلق,خوف,ألم,ضرر,جرح,حادث,شرّ
as1	original	anonymous	3.0	Guwahati, India	কটাৰী, কাৰ, দা, দাও, বৰচাহ, তৰোৱাল, ধনু, ফৰিঙ্গা, বণ্ডুক, হেংডাং, হিলোই, তুপ, কুথাৰ, য়াথি, অসমীয়া দাও, ক্কেপনাষ্ট্ৰো, জিহু জাহাজ, যুদ্ধ জাহাজ, গোলা-বাৰুদা, ৰকেট, যুদ্ধ বিমান, টেংক, গুলটি, খোজা বণ্ডুক, বৰ্তুপ	গুলাপ, ডালিয়া, ৰজনীগন্ধা, নাৰ্জি, চালকুওৰী, কৃষ্ণসুৰা, নয়নতৰা, জম লাখুতি, শেৱালি, কাঞ্চন, গধুলিগোপাল, টগৰ, ধতুৰা, অমৰ লতা, সম্পা, নীলপদ্ম, খৰিকাজাই, অপৰাজিতা, বেলি, কৰবি, নাহৰ ফুল, ভেট ফুল, পদুম, জবা, কপৌ-ফুল	তবলা, দুগি-দাইনা, ধুলুকি, হাৰমনিয়াম, ডবা, বেহেলা, তানপুৰা, বিনা, সীতাৰ, বাঁহী, ঢোল, গীটাৰ, মৃদঙ্গ, চাৰেংগী, চানাই, শংখ, পেপা, গগনা, বিহু তাল, টোকাৰী, খোল, চুটুলি, বিন, মাদল, নেগেৰা	উৰহ, পখিলা, বৰল, পইটাচুৰা, বিছা, গুবৰুৱা, উই, গান্ধী পুক, পোলু, কুমতি, মৌ মাখি, জোনাকী পৰুৱা, মোহালি পৰুৱা, উইচিৰিঙ্গা, ফৰিং, কাডু, মকৰা, উকনি, জিয়া, সুনপুকা, মুগা পলু, গাগিনি, কেচু, কেৰেলুৱা, মহ	ভাল, সুন্দৰ, প্ৰেমময়, সাহসী, নিৰ্ভৰযোগ্য, সংগীত, উচ্চাভিলাষী, সুখী, সুন্দৰ গোন্ধ, শ্ৰেষ্ঠ, প্ৰাৰ্থনা, খাদ্য, প্ৰেম, শান্তি, শান্ত, বিকাশ, কৃতজ্ঞতা, মাতৃ, পিতৃ, বন্ধু, দেহা, আনন্দ, কঠোৰ পৰিশ্ৰমী, প্ৰকৃতি, শংখ	বেয়া, খং, ভয়, দূৰ্গন্ধ,তিতা, ঠাণ্ডা, নিৰ্লজ্জ, লুন্থন, ভুল, পটন, নুৱাৰা, গুলি, বণ্ডুক, পইটাচুৰা, কুদৰ্শন, মহ, উৰহ, শান্তিহীন, অশান্ত, অকৃতজ্ঞতা, দুখি, মাৰ, অলস, আপত্তিজনক, অসাৱধান
bg1	original	anonymous	1.0	Gabrovo, Bulgaria	пистолет,автомат,танк,бомба,граната,мина,меч,щит,лък,стрела,арбалет,бомбардировач,пушка,чук,брадва,нож,копие,бухалка,тояга,сълзотворен газ,кама,топ,катапулт,ракета,подводница	роза,здравец,маргарита,лайка,невен,трендафил,кокиче,минзухар,лале,зюмбюл,слънчоглед,мушкато,теменуга,люляк,детелина,глухарче,петуния,лилия,хортензия,карамфил,хризантема,бегония,мак,нарцис,иглика	китара,цигулка,флейта,пиано,виолончело,контрабас,гъдулка,обой,кавал,гайда,тромпет,туба,саксофон,арфа,барабан,хармоника,акордеон,тамбура,тромбон,дайре,тъпан,кларинет,виола,орган,ксилофон	муха,комар,пчела,пеперуда,хлебарка,оса,водно конче,калинка,вонещица,дървояд,мравка,скакалец,паяк,гъсеница,бръмбар,светулка,молец,стоножка,щурец,бълха,божа кравичка,богомолка,търтей,дървеница,ларва	обич,любов,мир,радост,приятели,свобода,празник,удоволствие,семейство,музика,природа,толерантност,почивка,ваканция,разходка,прегръдка,милувка,усмивка,човечност,справедливост,здраве,щастие,успех,късмет,мечта	болест,война,караница,катастрофа,инцидент,смърт,мъка,болка,тъга,мръсотия,неуспех,хаос,престъпление,корупция,несправедливост,омраза,нападение,бедност,мизерия,глад,затвор,насилие,зло,страх,безпокойство
bn1	original	anonymous	1.0	Dhaka, Bangladesh	কাটারি, তীর, ধনুক, ব্লেড, চুরি, দাও, কাচি, ধা, বর্শা, ছর্কি, গুলতি, এয়ার গান, রামদা, কুড়াল, পিস্তল, বন্দুক, ঢাল, তলোয়ার, চাপাটি, ছড়া, হাতুড়ি, লাঠি, গোলা, চাক্রাম, বটি	বকুল, বেলি, চম্পা, জবা, গোলাপ, জেসমিন, কদম, কলমি, কৃষ্ণচূড়া, পলাশ, শিমুল, সূর্যমুখী, টগর, শাপলা, শিউলি, গন্ধরাজ, গাদা, হাস্নাহেনা, কাঁশফুল, পদ্দ, ডালিয়া, সর্পগন্ধা, অপরাজিতা, কচুরিফুল, রক্তজবা	সারেঙ্গী, সুরশিঙ্গার, এস্রাজ, সুরবাহার, বিনা, সানাই, বাঁশি, সারোদ, তানপুরা, সীতার, বেহালা, তবলা, হারমকিনা, খোল, শুরমণ্ডল, সন্তুর, খঞ্জনি, একতারা, দোতারা, খামাকা, গিটার, দামারু, সারিন্দা, তাউস, পিয়ানো	ছারপোকা, মাছি, মশা, জোঁক, উকুন, উইপোকা, কেঁচো, গুটিপোকা, জোনাকি পোকা, ঝিঝি পোকা, পিঁপড়া, প্রজাপতি, ভিমরুল, বল্লা, মৌমাছি, মাকড়শা, তেলাপোকা, বিচ্ছু, গান্ধী পোকা, গয়াল, ফড়িং, গুবরে পোকা, কৃমি, বিছা, শ্যামা পোকা	গান, খাবার, গল্প, বই, নাটক, আম্মু, বিড়াল, বন্ধু, চা, ঠান্ডা বাতাস, সবুজ গাছ, চাঁদ, রোদ, নদী, পানি, ছায়া, পুকুর, ঈদ, বৈশাখ, ভাই, আপু, বিছানা, আড্ডা, ঘুম, বিকাল	ঝগড়া, মিথ্যা, তর্ক, চুরি, পাদ, মদ, গাজা, সিগারেট, খুন, ব্যর্থতা, কটুউক্তি, অপারগতা, তিক্ততা, ঝাল, গরম, গান্ধী পোকা, তেলাপোকা, পাগল, দুর্গন্ধ, গণ পায়খানা, ঘাম, অপরিষ্কার, চাপামারা, অহংকার, নকল
bn2	original	anonymous	3.0	Calcuta, India	বন্দুক, তরোয়াল, তীর, বোমা, তরবারি, ছুরি, কুঠার, বর্শা, বল্লম, চাকু, ছোরা, চক্র, ত্রিশূল, বজ্র, গদা, তীর ধনুক, খান্দা, গুপ্তি, কস্তনী, খঞ্জর, কামান, সিরোহি, শমশের, ধূপ, বঁটি	গোলাপ, পদ্ম, জবা, গাঁদা, লিলি, চন্দ্রমল্লিকা, রজনীগন্ধা, গন্ধরাজ, চাঁপা, সূর্যমুখী, জুঁই, বেল, শেফালি, পলাশ, কাঠগোলাপ, কেতকী, চম্প, শিমূল, বকুল, মালতী, টগর, মল্লিকা, করবী, শালুক, দোপাটি	ঢাক, বীণা, বাঁশি, হারমোনিয়াম, তবলা, তানপুরা, সেতার, গিটার, বেহালা, সরোদ, ঢোল, শঙ্খ, সানাই, একতারা, মনোহারা, সারঙ্গী, খোল, সন্তুর, দোতারা, সারিন্দা, নাল, মন্দিরা, এসরাজ, ডুগডুগি, জলতরঙ্গ	মৌমাছি , প্রজাপতি, শামুক, জোঁক, মশা, মাছি, ভ্রমর, মাকড়সা, উইপোকা, ভিমরূল, বোলতা, গুটিপোকা, জোনাকি পোকা, ঝি ঝি পোকা, তেলাপোকা, পিঁপড়া, আরশোলা, উকুন, ছারপোকা, টিকটিকি, কেঁচো, কাঁকড়াবিছা, গিরগিটি, ফড়িং, কৃমি	বন্ধু, স্বাধীনতা, স্বাস্থ্য, বন্ধুত্ব, সুখী, আনন্দ, সাফল্য, ভালবাসা, প্রেম, দয়া, স্নেহ, আদর, মমতা, আকর্ষণ, সন্তোষ, তৃপ্তি, প্রত্যয়, তুষ্টি, শুভ, প্রসন্নতা, মজা, খুশি, উল্লাস, পুলক, আশা	ঈর্ষা, ব্যাথা, মৃত্যু, কষ্ট, দুঃখ, নি:সঙ্গ, বিষণ্ণ, নিরাশ, সর্বনাশগ্রস্ত, পরাজিত, স্বার্থপর, ঘৃণা, বিমর্ষ, অপ্রসন্ন, খিন্ন, করুণ, সংশোধনাতীত, জ্বরতপ্ত, রাগী, প্রদাহপূর্ণ, রূষ্ট, ক্রুদ্ধ, খাপ্পা, ক্লিষ্ট, হতাশা
ca1	original	anonymous	1.0	Barcelona, Catalonia	fletxa, pistola, rifle, fusell, escopeta, ganivet, trabuc, canó, metralladora, revòlver,  ballesta, catapulta, morter, baioneta, daga, colt, destral, espasa, floret, katana, llança, navalla, punyal, trabuquet, falç	rosa, margarida, rosella, gladiol, orquídea, lliri, gerani, petunia, gessamí, flor de nit, crisantem, lavanda, girasol, hortènsia, jacint, begònia, clavell, pensament, tulipa, magnòlia, hibiscus, dàlia, lotus, nenúfar, viola	piano, guitarra, flauta, acordió, tambor, flautí, trombó, orgue, teclat, violoncel, xel·lo, baix, contrabaix, tuba, gralla, castanyoles, violí, bateria, arpa, saxòfon, tenora, clarinet, pandereta, timbal, carrilló	mosca, mosquit, aranya, escarabat, termita, abella, marieta, formiga, corc, centpeus, cuc, saltamartí, llagosta, vespa, borinot, xinxa, fil·loxera, papallona, tisoretes, mantis religiosa, escorpí, àcar, libellula, abellot, taràntula	felicitat, calma, amor, amistat, salut, alegria, festa, esport, llibertat, natura, passeig, victoria, relax, lectura, cinema, xerrada, bonic, acolorit, pau, gespa, bosc, abraçada, nen, somriure, company	dolor, mal, tristesa, mort, presó, opressió, enfermetat, lleig, maltractament, estrés, lluita, insult, repressió, pudor, sang, derrota, soroll, depressió, destrucció, terror, crits, guerra, odi, por, traició
ca2	original	anonymous	1.0	Barcelona, Espanya	espasa, sabre, floret, daga, falcata, navalla, llança, martell de guerra, alabarda, destral, simitarra, punyal, arc, ballesta, katana, maça, fuet, catapulta, pistola, revòlver,  fusell, escopeta, metralleta, canó, míssil	pensament, crisantem, clavell, rosa, gira-sol, lliri, lotus, carxofa, margarita, clavell moro, gladiol, tarongina, petunia, lliri d'aigua, hepàtica, romaní, farigola, lis, edelweiss, hortènsia, campànul·la, violeta, boixet, dent de lleó, iris	violí, viola, violoncel,  piano, pianola, clavicembal, arpa, lira, campana, sac de gemecs,  acordió,  flauta dolça, flauta travessera, contrabaix, oboè, gralla, trompeta, trombó, tuba, guitarra, baix, xilòfon, cornamussa, flautí, timbal	escarabat, marieta, bernat, borinot, abella, vespa,  saltamartí, espiadimonis, centpeus, sabater, porquet de Sant Antoni, mosca, mosquit, tàvec, formiga, corc, aranya, escorpí, plegamans, opilió, escolopendra, tèrmit, taràntula, peixet, grill	felicitat, alegria, joia, content, confortable, dolç, llar, comoditat, diversió, intimitat, companyia, muntanya, oci, joc, cinema, lectura, fantasia, ciència-ficció,  parella, sopar, concert, amistat, salut, tranquil·litat,  pau	infelicitat, tristor, depressió, enuig, incomoditat, agre, extrany, avorriment, soledat, rutina, ignorància, pena, odi, guerra, incomprensió, abandó, oblit, formatge, ranci, podrit, malaltia, mort, futbol, ruïna, pobresa
ca3	original	anonymous	3.0	Barcelona, Espanya	fusell, espasa, daga, punyal, metralleta, pistola, canó, puny americà, llança, trident, escopeta, rifle, sabre, fuet, destral, navalla, maça, bomba, llançagranades, arc, míssil, llançaflames, dinamita, coltell, catana	orquídia, rosa, tulipa, lliri, hortènsia, gira-sol, petúnia, clavell, gerani, narcís, jacint, margarida, rosella, gerbera, romaní, gessamí, magnòlia, dàlia, crisantem, calèndula, camamilla, dent de lleó, lilà, violeta, neret	plat, triangle, piano, guitarra, violí, viola, violoncel, contrabaix, flauta travessera, flauta de bec, flautí, trompeta, trompa, tuba, caixa, tambor, timbal, bateria, fagot, oboè, baix, arpa, lira, xilòfon, clarinet	mosquit, abella, vespa, escarabat, mosca, panerola, centpeus, cuca de llum, tisoreta, grill, marieta, peixet de plata, sabater, xinxa, llagosta, saltamartí, papallona, arna, libèl·lula, espiadimonis, borinot, insecte pal, aranya, tèrmit, escolopendra	mar, abraçada, petó, música, harmonia, silenci, dormir, menjar, guanyar, amabilitat, escalfor, perfum, llegir, estudi, pau, piscina, sol, manta, aprovar, cobrar, viatjar, estimar, cafè, cervesa, muntanya	soroll, panerola, calor, fred, ronc, poca-soltada, taca, insecte, insult, badall, empenta, xivarri, guerra, destrucció, pudor, suspendre, acomiadar, caure, fer-se mal, fallar, matar, gossos, caca, coloms, polítics
ca4	original	anonymous	3.0	Castellví de Rosanes, Espanya	ganivet, navalla, pistola, metralleta, escopeta, espasa, falç, martell, làser, pal, bastó, porra, ferro, barra, tisora, bisturí, agulla, punxó, fletxa, paraules, insults, mans, cinturó, sabata, daga	gerani, margarida, orquídia, dent de lleó, rosa, gessamí, gira-sol, nenúfar, lis, lotus, ginesta, rosella, lliri, petúnia, lavanda, tulipa, flor de taronger, camèlia, hortènsia, violeta, flor d'ametller, gardènia, narcís, clavell, marialluïsa	violí, viola, violoncel, contrabaix, baix, guitarra, mandolina, bateria, flauta, flautí, piano, clarinet, trompeta, trombó, trompa, triangle, caixa xinesa, bombo, gralla, tambor, oboè, xilòfon, maraca, pandero, pandereta	marieta, mosquit, mosca, formiga, abella, vespa, libèl·lula, escarabat, panerola, puça, poll, paparra, aranya, taràntula, borinot, bernat pudent, arna, papallona, grill, centpeus, cuca, saltamartí, cigala, llagosta, xinxa	sol, dia, família, amistat, mar, brisa, vacances, nedar, descansar, menjar, gos, paisatge, plantes, aprendre, dormir, dissabte, creativitat, art, ballar, riure, cuinar, muntanya, aigua, natura, tranquil·litat	estrès, mal, incomoditat, set, picor, crits, metro, multitud, mentida, amargor, avorriment, tristor, dolor, gana, brutícia, pudor, fanfarroneria, desconsideració, egocentrisme, escombraries, fum, encens, guix, ressecor, xafogor
ca5	original	anonymous	3.0	Vilanova i la Geltrú, Espanya	espasa, revòlver, destral, trabuc, ganivet, porra, llança, daga, ballesta, fletxa, fusell, escopeta, metralladora, canó, granada, míssil, escut, llançaflames, bomba, pistola elèctrica (taser), catana, mina, javelina, baioneta, gas lacrimogen	tulipa, rosa, gira-sol, margarida, peònia, rosella, hortènsia, narcís, jacint, lavanda, clavell, dent de lleó, gerani, hibisc, violeta, iris, magnòlia, nenúfar, lotus, orquídia, flor de Nadal, camèlia, petúnia, gessamí, gardènia	piano, guitarra, violí, viola, violoncel, clavicèmbal, flauta, orgue, acordió, bateria, xilòfon, oboè, fagot, trompeta, trombó, tuba, arpa, banjo, ukulele, contrabaix, triangle, harmònica, maraca, bongos, timbal	papallona, mosca, abella, mosquit, vespa, espiadimonis, escarabat, formiga, cuca de llum, marieta, grill, saltamartí, mantis religiosa, panerola, llagosta, cuca de seda, processionària, eruga, insecte pal, tisoreta, xinxa, cigala, bernat, milpeus, centpeus	estiu, primavera, amor, amistat, sol, família, llar, viatges, cafè, cinema, petó, abraçada, posta de sol, flors, olor de pa acabat de fer, platja, mar, el Mediterrani, somriure, música, xocolata negra, pau interior, esperança, migdiada, llibre	rancúnia, por, solitud, dolor, fred, brutícia, malaltia, intolerància, malícia, feixisme, misogínia, racisme, classisme, homofòbia, gelosia, contaminació, maltractament, decepció, mentida, monotonia, mal temps, mala educació, menyspreu, tristor, misèria
