language,source,test,model,statistic,DstatUP,DstatLO,statMedian,DstatMedUP,DstatMedLO,sizeEffect,DsizeEffectUP,DsizeEffectLO,effMedian,DeffMedUP,DeffMedLO,cFruits,cFlowers,cInsects,cInstruments,cWeapons,cPleasant,cUnpleasant,EV,GH
ar1,1,1,wiki,0.022586022,0.51,0.47,0.02,0.00,0.00,0.045126123,0.81,0.93,0.045126123,0.00,0.00,-,-,-,-,-,-,-,106.4,0.47
ar0,0,1,wiki,0.03,0.39,0.37,0.03,0.39,0.37,0.07,0.78,0.93,0.07,0.78,0.93,-,-,-,-,-,-,-,106.4,0.47
ar1,1,1,wikiAlign,0.029725854,0.46,0.44,0.03,0.00,0.00,0.06661456,0.81,0.88,0.06661456,0.00,0.00,-,-,-,-,-,-,-,142.74,0.55
ar0,0,1,wikiAlign,-0.03,0.41,0.37,-0.03,0.41,0.37,-0.08,0.84,0.87,-0.08,0.84,0.87,-,-,-,-,-,-,-,142.74,0.55
ar1,1,1,ccwp,0.366385133,0.6,0.57,0.37,0.00,0.00,0.595805834,0.67,0.94,0.595805834,0.00,0.00,-,-,-,-,-,-,-,14.92,0.4
ar0,0,1,ccwp,0.50,0.47,0.46,0.50,0.47,0.46,0.85,0.50,0.85,0.85,0.50,0.85,-,-,-,-,-,-,-,14.92,0.4
ar1,1,1,cc10017,0.213097676,0.87,1.01,0.21,0.00,0.00,0.218318927,0.96,0.86,0.218318927,0.00,0.00,39044,165069,28014,358881,188460,1078946,1002063,55.22,0.62
ar0,0,1,cc10017,0.47,0.65,0.64,0.47,0.65,0.64,0.69,0.54,0.91,0.69,0.54,0.91,-,41681,24412,50647,360692,1403024,683710,55.22,0.62
ar1,1,1,cc10017Align,0.213097623,0.87,1.01,0.21,0.00,0.00,0.218318857,0.96,0.86,0.218318857,0.00,0.00,39044,165069,28014,358881,188460,1078946,1002063,55.22,0.62
ar0,0,1,cc10017Align,0.47,0.65,0.64,0.47,0.65,0.64,0.69,0.54,0.91,0.69,0.54,0.91,-,41681,24412,50647,360692,1403024,683710,55.22,0.62
ar1,1,1,cc10017vecmap,0.183146294,1.43,1.66,0.18,0.00,0.00,0.130458226,1.04,0.92,0.130458226,0.00,0.00,39044,165069,28014,358881,188460,1078946,1002063,229.24,1.56
ar0,0,1,cc10017vecmap,0.53,1.31,1.15,0.53,1.31,1.15,0.49,0.62,1.02,0.49,0.62,1.02,-,41681,24412,50647,360692,1403024,683710,229.24,1.56
ar1,1,1,cc10017vecmapSup,0.870625353,0.92,0.97,0.87,0.00,0.00,0.769368149,0.65,0.85,0.769368149,0.00,0.00,39044,165069,28014,358881,188460,1078946,1002063,36.13,0.56
ar0,0,1,cc10017vecmapSup,0.55,0.96,1.00,0.55,0.96,1.00,0.56,0.64,0.98,0.56,0.64,0.98,-,41681,24412,50647,360692,1403024,683710,36.13,0.56
ar1,1,1,w2v2langs,0.048149565,0.61,0.69,0.05,0.00,0.00,0.068253893,0.97,0.8,0.068253893,0.00,0.00,39044,165069,28014,358883,188460,1078947,1002064,93.36,0.53
ar0,0,1,w2v2langs,0.27,0.46,0.44,0.27,0.46,0.44,0.53,0.63,0.86,0.53,0.63,0.86,-,41681,24412,50647,360692,1403041,683713,93.36,0.53
ar1,1,1,w2v9langs,0.183817169,0.35,0.37,0.18,0.00,0.00,0.438823848,0.77,0.84,0.438823848,0.00,0.00,39054,165070,28016,358893,188468,1078991,1002090,475.44,1.46
ar0,0,1,w2v9langs,0.20,0.30,0.30,0.20,0.30,0.30,0.58,0.60,0.85,0.58,0.60,0.85,-,41685,24413,50648,360703,1403081,683722,475.44,1.46
ar1,1,1,bert0,-0.16483564,0.55,0.55,-0.16,0.00,0.00,-0.286763408,0.84,0.69,-0.286763408,0.00,0.00,-,-,-,-,-,-,-,153.84,0.85
ar0,0,1,bert0,-0.04,0.35,0.36,-0.04,0.35,0.36,-0.10,0.70,0.66,-0.10,0.70,0.66,-,-,-,-,-,-,-,153.84,0.85
ar1,1,1,bert11,0.018532892,0.09,0.08,0.02,0.00,0.00,0.218010826,0.69,0.84,0.218010826,0.00,0.00,-,-,-,-,-,-,-,-,-
